hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
76,4,0.0,0.0
77,5,0.0,136.31339566304257
78,6,0.0,0.0
79,7,139.38842975206612,0.0
80,8,456.1363636363636,0.0
81,9,755.2892561983472,171.49988550291428
82,10,935.3512396694215,272.1140248489531
83,11,1037.5619834710744,358.7115001589926
84,12,1075.2272727272727,1205.7831206847768
85,13,1030.4132231404958,1271.2147001918872
86,14,912.5,900.6280778083017
87,15,715.4132231404959,1103.3587902704467
88,16,419.40082644628103,625.0644883989437
89,17,35.45247933884298,308.79493687846343
90,18,0.0,376.3635008986819
91,19,0.0,755.6426077615959
92,20,0.0,663.87233364553
93,21,0.0,791.1817610170252
94,22,0.0,850.9947749050492
95,23,0.0,329.7412008194437
96,0,0.0,368.0528708445485
97,1,0.0,473.5039223880268
98,2,0.0,238.69973541877567
99,3,0.0,0.0
100,4,0.0,0.0
101,5,0.0,0.0
102,6,0.0,0.0
103,7,155.46694214876035,88.52557679830042
104,8,520.3305785123968,1480.7056718994015
105,9,827.8925619834711,1015.9866254087048
106,10,1036.7355371900826,474.9764155990603
107,11,1087.9338842975208,424.7397350242052
108,12,1079.814049586777,646.4111944710406
109,13,1074.5867768595042,567.7268632153095
110,14,978.904958677686,799.240715535374
111,15,756.9628099173553,928.259948262879
112,16,437.70661157024796,617.0614669621705
113,17,97.87190082644628,637.3564306312817
114,18,0.0,848.5402062178601
115,19,0.0,1084.6576826659498
116,20,0.0,1551.502791271725
117,21,0.0,1485.0658323615817
118,22,0.0,1186.2737670169588
119,23,0.0,529.3656182639251
120,0,0.0,132.87000940204973
121,1,0.0,423.42488559533336
122,2,0.0,379.07013615832346
123,3,0.0,507.95085112824114
124,4,0.0,326.84719199971073
125,5,0.0,198.00281141553936
126,6,0.0,114.14226848846492
127,7,141.67561983471074,0.0
128,8,458.07851239669424,120.53408591130145
129,9,695.2066115702479,332.8990364383179
130,10,910.5165289256198,251.381623093086
131,11,1073.0371900826447,466.2385096153712
132,12,1064.690082644628,457.7363095137355
133,13,1027.0247933884298,0.0
134,14,917.7892561983472,0.0
135,15,713.904958677686,270.48901629640727
136,16,421.4669421487603,578.1244693036713
137,17,99.41735537190084,572.0622709615075
138,18,0.0,622.1847262635345
139,19,0.0,887.7362293227598
140,20,0.0,1077.396053661412
141,21,0.0,1206.772815505654
142,22,0.0,1686.2252721133746
143,23,0.0,1227.939721898811
144,0,0.0,798.7412166271176
145,1,0.0,609.7217016172291
146,2,0.0,651.0932369135277
147,3,0.0,623.0418630513773
148,4,0.0,848.1078529067418
149,5,0.0,396.74223274548103
150,6,0.0,267.475862196182
151,7,120.97727272727273,0.0
152,8,385.76446280991735,464.22270515232213
153,9,733.2231404958678,480.23240644442694
154,10,846.2603305785124,326.57866861388106
155,11,879.6280991735538,91.3448705362216
156,12,965.0413223140496,0.0
157,13,935.805785123967,0.0
158,14,803.305785123967,0.0
159,15,686.1776859504132,0.0
160,16,426.38429752066116,509.4625194987474
161,17,109.29132231404958,1366.5700792616672
162,18,0.0,1152.1495471944374
163,19,0.0,630.0086450628372
164,20,0.0,804.3111713474622
165,21,0.0,1417.3017274256636
166,22,0.0,1065.3439736307243
167,23,0.0,181.5816679564984
168,0,0.0,0.0
169,1,0.0,336.2409348201806
170,2,0.0,784.2342800399066
171,3,0.0,1799.740898971333
172,4,0.0,1535.041094307661
173,5,0.0,665.1723028477269
174,6,0.0,481.6489097694017
175,7,115.76239669421487,711.2528138052871
176,8,397.35537190082647,1612.174182253751
177,9,670.4752066115702,180.0134553441311
