hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
86,14,881.2,1.4,900.6280778083017,Jodhpur,26.2389,73.0243
87,15,690.72,1.4,1103.358790270447,Jodhpur,26.2389,73.0243
88,16,404.96,1.4,625.0644883989437,Jodhpur,26.2389,73.0243
89,17,34.04,1.4,308.79493687846343,Jodhpur,26.2389,73.0243
90,18,0.0,1.4,376.3635008986819,Jodhpur,26.2389,73.0243
91,19,0.0,1.4,755.6426077615959,Jodhpur,26.2389,73.0243
92,20,0.0,1.4,663.87233364553,Jodhpur,26.2389,73.0243
93,21,0.0,1.4,791.1817610170252,Jodhpur,26.2389,73.0243
94,22,0.0,1.4,850.9947749050492,Jodhpur,26.2389,73.0243
95,23,0.0,1.4,329.7412008194437,Jodhpur,26.2389,73.0243
96,0,0.0,1.4,368.0528708445485,Jodhpur,26.2389,73.0243
97,1,0.0,1.4,473.5039223880268,Jodhpur,26.2389,73.0243
98,2,0.0,1.4,238.69973541877567,Jodhpur,26.2389,73.0243
99,3,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
100,4,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
101,5,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
102,6,0.0,1.4,0.0,Jodhpur,26.2389,73.0243
103,7,150.04,1.4,88.52557679830042,Jodhpur,26.2389,73.0243
104,8,502.38,1.4,1480.7056718994015,Jodhpur,26.2389,73.0243
105,9,799.55,1.4,1015.9866254087048,Jodhpur,26.2389,73.0243
106,10,1001.14,1.4,474.9764155990603,Jodhpur,26.2389,73.0243
107,11,1087.36,1.4,424.7397350242052,Jodhpur,26.2389,73.0243
108,12,1079.24,1.4,646.4111944710406,Jodhpur,26.2389,73.0243
109,13,1074.03,1.4,567.7268632153095,Jodhpur,26.2389,73.0243
110,14,945.29,1.4,799.240715535374,Jodhpur,26.2389,73.0243
111,15,730.99,1.4,928.259948262879,Jodhpur,26.2389,73.0243
112,16,422.62,1.4,617.0614669621705,Jodhpur,26.2389,73.0243
113,17,94.44,1.4,637.3564306312817,Jodhpur,26.2389,73.0243
114,18,0.0,1.4,848.5402062178601,Jodhpur,26.2389,73.0243
115,19,0.0,1.4,1084.6576826659498,Jodhpur,26.2389,73.0243
116,20,0.0,1.4,1551.502791271725,Jodhpur,26.2389,73.0243
117,21,0.0,1.4,1485.0658323615817,Jodhpur,26.2389,73.0243
118,22,0.0,1.4,1186.2737670169588,Jodhpur,26.2389,73.0243
119,23,0.0,1.4,529.3656182639251,Jodhpur,26.2389,73.0243
120,0,0.0,1.4,132.87000940204973,Jodhpur,26.2389,73.0243
121,1,0.0,1.4,423.42488559533336,Jodhpur,26.2389,73.0243
122,2,0.0,1.4,379.07013615832346,Jodhpur,26.2389,73.0243
123,3,0.0,1.4,507.95085112824114,Jodhpur,26.2389,73.0243
124,4,0.0,1.4,326.8471919997108,Jodhpur,26.2389,73.0243
125,5,0.0,1.4,198.00281141553936,Jodhpur,26.2389,73.0243
126,6,0.0,1.4,114.14226848846492,Jodhpur,26.2389,73.0243
127,7,136.73,1.4,0.0,Jodhpur,26.2389,73.0243
128,8,442.29,1.4,120.53408591130145,Jodhpur,26.2389,73.0243
129,9,671.22,1.4,332.8990364383179,Jodhpur,26.2389,73.0243
130,10,879.3,1.4,251.381623093086,Jodhpur,26.2389,73.0243
131,11,1036.18,1.4,466.2385096153712,Jodhpur,26.2389,73.0243
132,12,1028.12,1.4,457.7363095137355,Jodhpur,26.2389,73.0243
133,13,991.76,1.4,0.0,Jodhpur,26.2389,73.0243
134,14,886.3,1.4,0.0,Jodhpur,26.2389,73.0243
135,15,689.28,1.4,270.48901629640727,Jodhpur,26.2389,73.0243
136,16,406.94,1.4,578.1244693036713,Jodhpur,26.2389,73.0243
137,17,95.94,1.4,572.0622709615075,Jodhpur,26.2389,73.0243
138,18,0.0,1.4,622.1847262635345,Jodhpur,26.2389,73.0243
139,19,0.0,1.4,887.7362293227598,Jodhpur,26.2389,73.0243
