hour_index,hour_of_day,solar_kwh_per_mw,wind_kwh_per_wtg
67,19,0.0,1039.8567648376595
68,20,0.0,1857.594664628561
69,21,0.0,1450.674180628646
70,22,0.0,1033.9193324721998
71,23,0.0,734.747612389802
72,0,0.0,715.2388004878744
73,1,0.0,424.38203069786135
74,2,0.0,355.12204394188706
75,3,0.0,392.9264632701395
76,4,0.0,0.0
77,5,0.0,136.31339566304257
78,6,0.0,0.0
79,7,134.52,0.0
80,8,440.41,0.0
81,9,729.38,171.49988550291428
82,10,903.26,272.1140248489531
83,11,1001.94,358.7115001589926
84,12,1038.29,1205.7831206847768
85,13,995.04,1271.2147001918872
86,14,881.2,900.6280778083017
87,15,690.72,1103.358790270447
88,16,404.96,625.0644883989437
89,17,34.04,308.79493687846343
90,18,0.0,376.3635008986819
91,19,0.0,755.6426077615959
92,20,0.0,663.87233364553
93,21,0.0,791.1817610170252
94,22,0.0,850.9947749050492
95,23,0.0,329.7412008194437
96,0,0.0,368.0528708445485
97,1,0.0,473.5039223880268
98,2,0.0,238.69973541877567
99,3,0.0,0.0
100,4,0.0,0.0
101,5,0.0,0.0
102,6,0.0,0.0
103,7,150.04,88.52557679830042
104,8,502.38,1480.7056718994015
105,9,799.55,1015.9866254087048
106,10,1001.14,474.9764155990603
107,11,1087.36,424.7397350242052
108,12,1079.24,646.4111944710406
109,13,1074.03,567.7268632153095
110,14,945.29,799.240715535374
111,15,730.99,928.259948262879
112,16,422.62,617.0614669621705
113,17,94.44,637.3564306312817
114,18,0.0,848.5402062178601
115,19,0.0,1084.6576826659498
116,20,0.0,1551.502791271725
117,21,0.0,1485.0658323615817
118,22,0.0,1186.2737670169588
119,23,0.0,529.3656182639251
120,0,0.0,132.87000940204973
121,1,0.0,423.42488559533336
122,2,0.0,379.07013615832346
123,3,0.0,507.95085112824114
124,4,0.0,326.8471919997108
125,5,0.0,198.00281141553936
126,6,0.0,114.14226848846492
127,7,136.73,0.0
128,8,442.29,120.53408591130145
129,9,671.22,332.8990364383179
130,10,879.3,251.381623093086
131,11,1036.18,466.2385096153712
132,12,1028.12,457.7363095137355
133,13,991.76,0.0
134,14,886.3,0.0
135,15,689.28,270.48901629640727
136,16,406.94,578.1244693036713
137,17,95.94,572.0622709615075
138,18,0.0,622.1847262635345
139,19,0.0,887.7362293227598
140,20,0.0,1077.396053661412
141,21,0.0,1206.772815505654
142,22,0.0,1686.2252721133746
143,23,0.0,1227.939721898811
144,0,0.0,798.7412166271176
145,1,0.0,609.7217016172291
146,2,0.0,651.0932369135277
147,3,0.0,623.0418630513773
148,4,0.0,848.1078529067418
149,5,0.0,396.742232745481
150,6,0.0,267.475862196182
151,7,116.74,0.0
152,8,372.48,464.2227051523221
153,9,707.91,480.2324064444269
154,10,817.25,326.57866861388106
155,11,849.48,91.3448705362216
156,12,931.92,0.0
157,13,903.7,0.0
158,14,775.79,0.0
159,15,662.5,0.0
160,16,411.69,509.4625194987474
161,17,105.47,1366.5700792616672
162,18,0.0,1152.1495471944374
163,19,0.0,630.0086450628372
164,20,0.0,804.3111713474622
165,21,0.0,1417.3017274256636
166,22,0.0,1065.3439736307243
167,23,0.0,181.5816679564984
168,0,0.0,0.0
169,1,0.0,336.2409348201806
170,2,0.0,784.2342800399066
171,3,0.0,1799.740898971333
172,4,0.0,1535.041094307661
173,5,0.0,665.1723028477269
174,6,0.0,481.6489097694017
175,7,111.71,711.2528138052871
176,8,383.66,1612.174182253751
177,9,647.33,180.0134553441311
178,10,793.14,244.1870462605463
179,11,961.07,221.7585464651812
180,12,983.93,0.0
181,13,974.61,86.50657644607416
182,14,870.1,201.08105306199107
183,15,640.74,87.87998545194611
184,16,338.66,586.9446273798671
185,17,90.9,946.1892383643396
186,18,0.0,1193.2257127165556
187,19,0.0,1243.5225032760902
188,20,0.0,957.8470353287348
189,21,0.0,681.3185687124799
190,22,0.0,642.8691541102485
191,23,0.0,703.2751808750459
192,0,0.0,673.2630283084476
193,1,0.0,774.8956611993344
194,2,0.0,815.3973197661335
195,3,0.0,697.6220413095967
196,4,0.0,286.986401014355
197,5,0.0,0.0
198,6,0.0,115.7239308737104
199,7,148.34,146.51195359600874
200,8,503.18,0.0
201,9,675.29,139.02487079456006
202,10,829.09,250.9140454567448
203,11,914.77,216.61511083084105
204,12,841.92,377.8044124656613
205,13,862.58,592.761811948266
206,14,785.91,636.9975570918124
207,15,636.07,455.7214647317067
208,16,418.88,535.5699867870389
209,17,112.69,658.745342634335
210,18,0.0,1263.9721381092818
211,19,0.0,965.8955894307968
212,20,0.0,2059.9775252696822
213,21,0.0,1585.9679794309127
214,22,0.0,991.6353062425894
215,23,0.0,1599.3315406394065
216,0,0.0,1772.3667426638822
217,1,0.0,1603.5317156957367
218,2,0.0,896.0993389257379
219,3,0.0,489.6868407836008
220,4,0.0,348.89449424353666
221,5,0.0,177.42423120454126
222,6,0.0,445.16094558338455
223,7,131.69,246.98521357678453
224,8,425.91,274.05860508301714
225,9,754.24,49.36833292012891
226,10,936.74,429.1780044986863
227,11,865.79,514.45852951325
228,12,982.42,473.8380562510652
