hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
0,0,0.0,1.45,1108.0383176282369,Kutch,23.7337,69.8597
1,1,0.0,1.45,910.9479986947686,Kutch,23.7337,69.8597
2,2,0.0,1.45,502.4819777128093,Kutch,23.7337,69.8597
3,3,0.0,1.45,410.0653022494319,Kutch,23.7337,69.8597
4,4,0.0,1.45,391.5418159693619,Kutch,23.7337,69.8597
5,5,0.0,1.45,167.66328921581635,Kutch,23.7337,69.8597
6,6,0.0,1.45,1194.1978606974792,Kutch,23.7337,69.8597
7,7,149.21694214876035,1.45,774.111130383305,Kutch,23.7337,69.8597
8,8,440.76446280991735,1.45,1609.3201061864415,Kutch,23.7337,69.8597
9,9,864.8553719008265,1.45,967.7350888147298,Kutch,23.7337,69.8597
10,10,899.2148760330579,1.45,318.9283451150033,Kutch,23.7337,69.8597
11,11,997.190082644628,1.45,344.151143276744,Kutch,23.7337,69.8597
12,12,991.7355371900828,1.45,579.7649174346909,Kutch,23.7337,69.8597
13,13,850.0826446280992,1.45,722.8559177444665,Kutch,23.7337,69.8597
14,14,618.8429752066116,1.45,648.3104458764842,Kutch,23.7337,69.8597
15,15,300.0619834710744,1.45,462.2634255966265,Kutch,23.7337,69.8597
16,16,147.12190082644628,1.45,980.3449804784732,Kutch,23.7337,69.8597
17,17,18.94504132231405,1.45,200.32997194316988,Kutch,23.7337,69.8597
18,18,0.0,1.45,0.0,Kutch,23.7337,69.8597
19,19,0.0,1.45,183.0914258078779,Kutch,23.7337,69.8597
20,20,0.0,1.45,257.89524631457755,Kutch,23.7337,69.8597
21,21,0.0,1.45,230.13986462788588,Kutch,23.7337,69.8597
22,22,0.0,1.45,0.0,Kutch,23.7337,69.8597
23,23,0.0,1.45,0.0,Kutch,23.7337,69.8597
24,0,0.0,1.45,0.0,Kutch,23.7337,69.8597
25,1,0.0,1.45,244.70475517736804,Kutch,23.7337,69.8597
26,2,0.0,1.45,713.9704381095553,Kutch,23.7337,69.8597
27,3,0.0,1.45,68.97161667303561,Kutch,23.7337,69.8597
28,4,0.0,1.45,0.0,Kutch,23.7337,69.8597
29,5,0.0,1.45,0.0,Kutch,23.7337,69.8597
30,6,0.0,1.45,0.0,Kutch,23.7337,69.8597
31,7,176.36363636363637,1.45,0.0,Kutch,23.7337,69.8597
32,8,239.93801652892563,1.45,0.0,Kutch,23.7337,69.8597
33,9,325.90909090909093,1.45,207.13864694364707,Kutch,23.7337,69.8597
34,10,596.5909090909091,1.45,208.6794290856806,Kutch,23.7337,69.8597
35,11,463.34710743801656,1.45,178.183296076089,Kutch,23.7337,69.8597
36,12,763.0165289256198,1.45,69.28929312317717,Kutch,23.7337,69.8597
37,13,1085.392561983471,1.45,70.73858947154426,Kutch,23.7337,69.8597
38,14,705.0,1.45,507.7138427398688,Kutch,23.7337,69.8597
39,15,756.4256198347108,1.45,933.061037564722,Kutch,23.7337,69.8597
40,16,454.7933884297521,1.45,1181.3410336996913,Kutch,23.7337,69.8597
41,17,36.91115702479339,1.45,690.5364372086758,Kutch,23.7337,69.8597
42,18,0.0,1.45,708.2092565666869,Kutch,23.7337,69.8597
43,19,0.0,1.45,592.5353999191738,Kutch,23.7337,69.8597
44,20,0.0,1.45,412.6657325596683,Kutch,23.7337,69.8597
45,21,0.0,1.45,1298.424843520727,Kutch,23.7337,69.8597
46,22,0.0,1.45,1478.7151393363197,Kutch,23.7337,69.8597
47,23,0.0,1.45,829.9031472420604,Kutch,23.7337,69.8597
48,0,0.0,1.45,597.3347708479257,Kutch,23.7337,69.8597
49,1,0.0,1.45,336.9253901253684,Kutch,23.7337,69.8597
50,2,0.0,1.45,469.49063373214295,Kutch,23.7337,69.8597
51,3,0.0,1.45,462.715385147529,Kutch,23.7337,69.8597
52,4,0.0,1.45,511.9448401986229,Kutch,23.7337,69.8597
53,5,0.0,1.45,462.6329851735178,Kutch,23.7337,69.8597
54,6,0.0,1.45,286.82052133150944,Kutch,23.7337,69.8597
55,7,109.59710743801654,1.45,605.8252466440898,Kutch,23.7337,69.8597
56,8,425.8264462809918,1.45,463.0574202294273,Kutch,23.7337,69.8597
57,9,670.7644628099174,1.45,44.25001935581256,Kutch,23.7337,69.8597
58,10,764.8553719008264,1.45,332.3903311070444,Kutch,23.7337,69.8597
59,11,946.2603305785124,1.45,171.63450583345758,Kutch,23.7337,69.8597
60,12,862.2520661157025,1.45,18.05085174575312,Kutch,23.7337,69.8597
61,13,544.2561983471074,1.45,0.0,Kutch,23.7337,69.8597
62,14,472.02479338842977,1.45,92.26584517165747,Kutch,23.7337,69.8597
63,15,511.5289256198348,1.45,243.91114963279608,Kutch,23.7337,69.8597
64,16,291.301652892562,1.45,1383.3680774021304,Kutch,23.7337,69.8597
65,17,5.397520661157025,1.45,1174.3396303798193,Kutch,23.7337,69.8597
66,18,0.0,1.45,873.8165910413308,Kutch,23.7337,69.8597
67,19,0.0,1.45,1039.8567648376595,Kutch,23.7337,69.8597
68,20,0.0,1.45,1857.594664628561,Kutch,23.7337,69.8597
69,21,0.0,1.45,1450.674180628646,Kutch,23.7337,69.8597
70,22,0.0,1.45,1033.9193324721998,Kutch,23.7337,69.8597
71,23,0.0,1.45,734.747612389802,Kutch,23.7337,69.8597
72,0,0.0,1.45,715.2388004878744,Kutch,23.7337,69.8597
73,1,0.0,1.45,424.38203069786135,Kutch,23.7337,69.8597
74,2,0.0,1.45,355.12204394188706,Kutch,23.7337,69.8597
75,3,0.0,1.45,392.9264632701395,Kutch,23.7337,69.8597
76,4,0.0,1.45,0.0,Kutch,23.7337,69.8597
77,5,0.0,1.45,136.31339566304257,Kutch,23.7337,69.8597
78,6,0.0,1.45,0.0,Kutch,23.7337,69.8597
79,7,139.38842975206612,1.45,0.0,Kutch,23.7337,69.8597
80,8,456.1363636363636,1.45,0.0,Kutch,23.7337,69.8597
81,9,755.2892561983472,1.45,171.49988550291428,Kutch,23.7337,69.8597
82,10,935.3512396694216,1.45,272.1140248489531,Kutch,23.7337,69.8597
83,11,1037.5619834710744,1.45,358.7115001589926,Kutch,23.7337,69.8597
84,12,1075.2272727272727,1.45,1205.7831206847768,Kutch,23.7337,69.8597
85,13,1030.4132231404958,1.45,1271.2147001918872,Kutch,23.7337,69.8597
86,14,912.5,1.45,900.6280778083017,Kutch,23.7337,69.8597
87,15,715.4132231404959,1.45,1103.358790270447,Kutch,23.7337,69.8597
88,16,419.400826446281,1.45,625.0644883989437,Kutch,23.7337,69.8597
89,17,35.45247933884298,1.45,308.79493687846343,Kutch,23.7337,69.8597
90,18,0.0,1.45,376.3635008986819,Kutch,23.7337,69.8597
91,19,0.0,1.45,755.6426077615959,Kutch,23.7337,69.8597
92,20,0.0,1.45,663.87233364553,Kutch,23.7337,69.8597
93,21,0.0,1.45,791.1817610170252,Kutch,23.7337,69.8597
