hour_index,hour_of_day,solar_kwh_per_mw,dc_ac_ratio,wind_kwh_per_wtg,location_name,latitude,longitude
0,0,0.0,1.45,1108.0383176282369,Nellore,14.4426,79.9865
1,1,0.0,1.45,910.9479986947686,Nellore,14.4426,79.9865
2,2,0.0,1.45,502.4819777128093,Nellore,14.4426,79.9865
3,3,0.0,1.45,410.0653022494319,Nellore,14.4426,79.9865
4,4,0.0,1.45,391.5418159693619,Nellore,14.4426,79.9865
5,5,0.0,1.45,167.66328921581635,Nellore,14.4426,79.9865
6,6,0.0,1.45,1194.1978606974792,Nellore,14.4426,79.9865
7,7,149.21694214876035,1.45,774.111130383305,Nellore,14.4426,79.9865
8,8,440.76446280991735,1.45,1609.3201061864415,Nellore,14.4426,79.9865
9,9,864.8553719008265,1.45,967.7350888147298,Nellore,14.4426,79.9865
10,10,899.2148760330579,1.45,318.9283451150033,Nellore,14.4426,79.9865
11,11,997.190082644628,1.45,344.151143276744,Nellore,14.4426,79.9865
12,12,991.7355371900828,1.45,579.7649174346909,Nellore,14.4426,79.9865
13,13,850.0826446280992,1.45,722.8559177444665,Nellore,14.4426,79.9865
14,14,618.8429752066116,1.45,648.3104458764842,Nellore,14.4426,79.9865
15,15,300.0619834710744,1.45,462.2634255966265,Nellore,14.4426,79.9865
16,16,147.12190082644628,1.45,980.3449804784732,Nellore,14.4426,79.9865
17,17,18.94504132231405,1.45,200.32997194316988,Nellore,14.4426,79.9865
18,18,0.0,1.45,0.0,Nellore,14.4426,79.9865
19,19,0.0,1.45,183.0914258078779,Nellore,14.4426,79.9865
20,20,0.0,1.45,257.89524631457755,Nellore,14.4426,79.9865
21,21,0.0,1.45,230.13986462788588,Nellore,14.4426,79.9865
22,22,0.0,1.45,0.0,Nellore,14.4426,79.9865
23,23,0.0,1.45,0.0,Nellore,14.4426,79.9865
24,0,0.0,1.45,0.0,Nellore,14.4426,79.9865
25,1,0.0,1.45,244.70475517736804,Nellore,14.4426,79.9865
26,2,0.0,1.45,713.9704381095553,Nellore,14.4426,79.9865
27,3,0.0,1.45,68.97161667303561,Nellore,14.4426,79.9865
28,4,0.0,1.45,0.0,Nellore,14.4426,79.9865
29,5,0.0,1.45,0.0,Nellore,14.4426,79.9865
30,6,0.0,1.45,0.0,Nellore,14.4426,79.9865
31,7,176.36363636363637,1.45,0.0,Nellore,14.4426,79.9865
32,8,239.93801652892563,1.45,0.0,Nellore,14.4426,79.9865
33,9,325.90909090909093,1.45,207.13864694364707,Nellore,14.4426,79.9865
34,10,596.5909090909091,1.45,208.6794290856806,Nellore,14.4426,79.9865
35,11,463.34710743801656,1.45,178.183296076089,Nellore,14.4426,79.9865
36,12,763.0165289256198,1.45,69.28929312317717,Nellore,14.4426,79.9865
37,13,1085.392561983471,1.45,70.73858947154426,Nellore,14.4426,79.9865
38,14,705.0,1.45,507.7138427398688,Nellore,14.4426,79.9865
39,15,756.4256198347108,1.45,933.061037564722,Nellore,14.4426,79.9865
40,16,454.7933884297521,1.45,1181.3410336996913,Nellore,14.4426,79.9865
